Word,Meaning
babble,chatter idly or foolishly; make con tinuous sounds like water running
bacchanal,noisy party with a lot of drinking
bacchanalia,the ancient Roman festival in honor of Bacchus
bacchanalian,drunken
backslide,revert (to bad habits); N. reverter
backwards,and forwards; Ex. reciprocate his in vitation by inviting him; N.
badger,pester; annoy continually with demand s; persuade by asking again and
badinage,teasing conversation; banter; joking talk
baffle,frustrate; perplex
bait,harass; tease; torment; Ex. badger bait ing; N: food or other lure used to
baleful,evil; malignant in intent or effect; deadly; having a malign influence;
balk,"stop short, as if faced with an obst acle, and refuse to continue; foil; stop"
ballast,heavy substance used to add stab ility or weight; V. supply with ballast
balm,something that relieves pain; oily liquid with a pleasant smell from trees
balmy,soft and mild (of air); fragrant
banal,hackneyed; commonplace; trite; lacking originality; clich\'ed
bandy,discuss lightly or glibly; discuss in a frivolous manner; exchange (words)
bane,posion; cause of ruin; ADJ. baneful: harmful; poisonous
bank,heap; piled-up mass; embankment; lateral tilting (as of an aircraft in
bantering,joking talk; good-naturedly ridiculing; N.V. banter
bar,railing in a courtroom; legal profession; vertical line dividing a staff into
barb,"sharp projection from fishhook, arrow, or other object; openly cutting remark"
bard,poet
barefaced,shameless and noticeable; blatant; bo ld; unconcealed; having no covering
bargain,agreement between two groups or peop le; something for sale at a price
baroque,highly ornate
barrage,barrier laid down by artillery fire; overwhelming profusion; large number
barrister,counselor-at-law or lawyer in the higher court of law; CF. bar
barterer,trader; V. barter: trade; exchange good for other goods rather than money
base,contemptible; morally bad; inferior in value or quality; Ex. base
motives/conduct; Ex. base,metal such as iron
bask,luxuriate; take pleasure in warmth
bastard,illegitimate child
bastion,stronghold; something seen as a source of protection; Ex. the last bastion of male chauvinism
bate,let down; lessen the force of; moderate ; restrain; Ex. with bated breath;
battalion,army unit made up of four or more companies
bauble,trinket; cheap jewel; trifle
bawdy,indecent; obscene; about se x in a rude funny way; CF. bawd
bearing,deportment; connection
beatific,giving or showing bliss; blissful
beatitude,blessedness; state of great happiness
bedizen,dress with vulgar finery
bedraggle,wet thoroughly; ADJ. bedraggled: draggled
beeline,direct quick route
befuddle,confuse thoroughly
beget,father; become the father of; produce; give rise to
begrudge,envy; give or allow unwillingly; grud ge; Ex. We shouldn't begrudge him
beguile,deceive; mislead or delude; cheat; pass time pleasantly; charm or attract;
behemoth,huge creature; something of monstrous size or power
beholden,obligated; indebted; owing than ks; obliged or indebted from gratitude
behoove(behove),be suited to; be incumbent upon; be right and necessary; Ex. It behooves one to do.
belabor,harp on; dwell on tediously; explai n or go over excessively or to a
belated,delayed
beleaguer,besiege or attack (with an army); harass; beset
belie,contradict; give a false impression; di sguise; Ex. The poor sales belied our
belittle,disparage; depreciate
bellicose,warlike
belligerent,quarrelsome
bemoan,lament; moan for; express sorrow or disapproval of
bemused,confused; lost in thought; preoccupied
benediction,blessing
benefactor,gift giver; patron; person who does good or who gives money for a good
beneficent,kindly; doing good
beneficial,helpful; useful; advantageous
beneficiary,person entitled to benefits or proceeds of an insurance policy or will
benefit,"advantage; anything that brings helpl, advantage, or profit; money"
benevolent,generous; charitable; having a wish to do good
benign,kindly; favorable; not mali gnant (disease); Ex. benign tumor
benison,blessing
bent,determined; Ex. bent on advancing in the business; N: natural talent or
bequeath,leave to someone by means of a will; hand down in his will; N. bequest
berate,scold strongly
bereaved,deprived of (someone beloved through death)
bereavement,state of being deprived of something valuable or beloved; state of being bereaved or bereft
bereft,deprived of (something valuable); lacking
berserk,mad with violent anger; frenzied; madly excited
beseech,beg; plead with
beset,harass or trouble from all directions; hem in
besiege,surround with armed forces; ha rass (with requests); annoy continually
besmirch,soil; defile; make dirty
bestial,beastlike; brutal; inhuman; very cruel
bestow,confer
betoken,signify; indicate; be a sign of
betray,be unfaithful; reveal (unconsciously or unwillingly); Ex. Her trembling
betroth,become engaged to marry
bevy,large group; Ex. a bevy of starlets
beware,be cautious (of)
bewitch,cast a spell over; captivate completely
bicameral,two-chambered as a legislative body
bicker,quarrel
bid,command; utter (a greeting); offer as a price; N: offer of a price; amount
offered; earnest effort to gain,something; Ex. bid for freedom
biennial,every two years
bifurcated,divided into two branches; forked
bigot,one who is intolerant (in matters of religion or politics)
bigotry,stubborn intolerance
bilious,suffering from indigestion; sick from  having too much bile; irritable;
bilk,swindle; cheat
billow,"large wave of water; a great swell or surge (of smoke); V: surge, swell, roll"
billowing,swelling out in waves; surging
biting,sharply painful to the body  or mind; Ex. biting wind/remarks
bitter,having a sharp biting taste; 敬; causing sharp pain to the body or mind;
bivouac,temporary encampment; camp without tents; V.
bizarre,fantastic; violently contrasting; noticeably odd; strikingly unconventional
blackball,vote against (an applican t); ostracize; N: negative vote
blanch,bleach; whiten; make white or pale
bland,soothing or mild (food); agre eable; causing no trouble or offence
blandishment,flattery
blare,loud or harsh roar or screech; dazzling blaze of light
blase,bored with pleasure or di ssipation; uninterested or bored
blasphemy,irreverence; sacrilege; cursing; bad language about God or holy things; V.
blatant,extremely (offensively) obvious; loudly offensive; Ex. blatant lie; N.
bleak,cold or cheerless; frigid; unli kely to be favorable; depressing
blemish,mar; spoil the beauty or perfection of; N: flaw or defect (that spoils
blight,plant disease; V: infect with blight; ruin; destroy
blighted,suffering from a disease; destroyed
bliss,complete happiness; ADJ. blissful
bloated,(unpleasantly) swollen or puffed as with water or air
blotch,spot; blot; CF. blot+botch
blowhard,talkative boaster; braggart
bludgeon,club; heavy-headed weapon; V.
blue,gloomy; depressed
blues,"state of depression or melancholy; st yle of slow, mournful music (evolved"
bluff,pretense (of strength); deception; high cliff; ADJ: rough but good-
blunder,error; stupid mistake
blunt,having a dull edge; abrupt and frank in speech or manner; brusque; V:
blurt,utter impulsively from nervousness or excitement
