Word,Meaning
cabal,small group of persons secretly united to promote their own interests
cache,hiding place; V.
cacophonous,discordant; inharmonious; N. cacophony: unpleasant mixture
cadaver,corpse; dead human body
cadaverous,like a corpse; pale
cadence,rhythmic rise and fall (of words or sounds); beat; regular beat
cadet,student at a military school
cajole,persuade by praise or  false promise; coax; wheedle
calamity,disaster; misery
calculated,deliberately planned; likely
caliber,ability; quality; diameter of the inside of a round cylinder; Ex.
calligraphy,beautiful writing; excellent penmanship
callous,hardened; unfeeling; without sy mpathy for the sufferings of
callow,youthful; immature; inexperienced
callus,area of thick hard skin
calorific,heat-producing; N. calorie
calumny,malicious misrepresentation; slander
camaraderie,good-fellowship; CF. comrade
cameo,shell or jewel carved in relief; star's special appearance in a
camp,group sharing a common cause or opinion
canard,unfounded false rumor; exaggerated false report
candor,frankness; open honesty; ADJ. candid
canine,related to dogs; doglike
canker,any ulcerous sore; ulcer; any evil; CF. cancer
canny,shrewd in money matters; thrifty
cant,insincere speech or expression of  piety; jargon of thieves;
cantankerous,ill-humored; irritable
cantata,story set to music to be sung by a chorus (shorter than an
canter,slow gallop; V. CF. trot
canto,division of a long poem
canvass,"determine or seek opinions, votes, etc.; go through (a region)"
capacious,spacious
capacity,mental or physical ability; role; position or duty; ability to
capillary,having a very fine bore; resembling a hair; fine and slender;
capitulate,surrender; give up all resistance
caprice,whim; sudden change of mind without any real cause
capricious,unpredictable; fickle
capsize,(of a boat) turn over
caption,title; chapter heading; text under illustration
captious,faultfinding; too critical
carafe,glass water bottle; decanter
carapace,"shell covering the back (of a turtle, tortoise, crab, etc.)"
carat(karat),unit of weight for precious stones; measure of the purity of gold
carcinogenic,causing cancer; N. carcinogen
cardinal,chief; most important; N: priest; cardinal number: number
cardiologist,doctor specializing in ailments of the heart
careen,lurch; sway from side to side ; move with irregular swinging
career,rush wildly; go at full speed
carefree,free from worries; having no problems
caricature,distortion; burlesque
carillon,a set of bells (often in a tower) capable of being played
carnage,destruction of life; slaughter; killing of large numbers of
carnal,fleshly; sensual; conce rning the desires of the body
carnivorous,meat-eating; N. carnivore; CF. herbivore
carousal,drunken revel; V. carouse
carping,petty criticism; fault-finding; fretful complaining; quibble
carrion,rotting flesh of a dead body; CF. vulture
cartographer,map-maker
cascade,small waterfall
caste,one of the hereditary classe s in Hindu society; social
castigation,punishment; severe criticism or disapproval
castrate,remove the sex organs (of a male animal or person)
casual,happening by chance; irregular; occasional; informal;
casualty,serious or fatal accident; person killed or wounded in an accident or battle
cataclysm,deluge; upheaval; earthquake; violent and sudden event or
catalyst,agent which brings about a chemical change while it remains
catapult,slingshot; hurling machine; V: fire from catapult
cataract,great waterfall; eye abnormality (causing a gradual loss of eyesight)
catastrophe,calamity ; disaster
catcall,shout of disapproval or displeasure (made at the theater or a
catechism,book for religious instruction in question-and-answer form;
categorical,without exceptions; made without any doubt in mind;
cater,provide food and drink (for); cater to: try to satisfy (desires of
catharsis,purging or cleansing of any passage of the body; purging and
cathartic,purgative; medicine that causes the bowels to empty; ADJ.
catholic,(of likings and interests) universal; general; broad; including
caucus,private meeting of a group of people in a political party to
caulk(calk),make watertight (by blocking up cracks as in a ship)
causal,implying a cause-and-e ffect relationship; N. causality
caustic,burning; corrosive; able to burn by chemical action;
cauterize,"burn (a wound or snakebite, etc.) with hot iron or caustic substance to stop bleeding and prevent infection"
cavalcade,procession of riders or horse-drawn carriages; parade; CF. cavalry
cavalier,casual and offhand; arrogant; N: knight
cavil,quibble; make frivolous ob jections; find fault unnecessarily
cede,yield (title or territory) to (esp. after losing a war); surrender formally; N. cession
celerity,speed; rapidity
celestial,heavenly
celibate,abstaining from sexual intercourse; unmarried; N. celibacy
cemetery,place for burying the dead
censor,(in ancient Rome) overseer of mo rals (also taking the census);
censorious,severely critical
censure,blame; criticize; express strong disapproval; N: severe
centaur,"mythical figure, half man and half horse"
centigrade,denoting a widely used tempera ture scale (basically same as
centrifugal,radiating; departing from the center
centrifuge,machine that separates substances by whirling them
centripetal,tending toward the center
centurion,Roman army officer (commanding a company of about 100 soldiers)
cerebral,pertaining to the brain or inte llect; intellectual rather than
cerebration,thought; working of the brain
ceremonious,marked by formality; extremely formal and polite; CF.
certitude,certainty
cessation,stoppage
cession,yielding to another; ceding
chafe,warm by rubbing; make sore by rubbing; N.
chaff,worthless products of an endeavor; husk(outer seed cover)
chaffing,bantering; joking
chagrin,annoyance and disappointment; vexation (caused by humiliation or injured pride)
chalice,goblet; consecrated cup
chameleon,lizard that changes color in different situations
champion,support militantly; fight for; N: person who fights for or
championship,position of champion; defense or support; competition held
chancellor,legal official of high rank; CF. chancellery(chancellory):
chant,tune(melody) in which a number of words are sung on the
chaotic,in utter disorder
chapel,"small church (in a prison, college, or hospital)"
chaperon,older person who accompanies and supervises a young unmarried woman
chaplain,clergyman attached to a chapel
char,make or become black by burnin g; reduce or be reduced to
charisma,divine gift; great popular charm or appeal; magnetism
charlatan,quack; pretender to knowledge (esp. in medicine)
charm,quality of pleasing; amulet; action or formula thought to have magical power; spell; V: attr act; cast a spell on; bewitch
chary,cautious; unwilling to take risk s; sparing or restrained about
chase,ornament a metal surface by indenting; follow rapidly to catch
chasm,abyss; very deep crack
chassis,framework and working parts of an automobile; framework to
chaste,morally pure; virginal; abstaining from illicit sexual acts; modest; simple (of a style of writing); not highly decorated;
chasten,discipline; punish in order to correct; CF. castigate
chastise,punish as by beating; criticize severely
chauvinist,"blindly devoted patriot; zealous adherent of a group, cause, or sex; ADJ. chauvinistic; CF. chauvinism; Nicolas Chauvin"
check,stop motion; curb or restrain
cherubic,angelic; innocent-looking; N. cherub; CF. seraph: winged
chicanery,trickery; deception
chide,scold; rebuke (someone who has done wrong)
chimerical,fantastically improbable; highly unrealistic; N. chimera: unreal fancy; fire-breathing female creature
chip,lose a small piece from the surface or edge; N: small piece
chisel,swindle or cheat; N:  wedgelike tool for cutting
chivalrous,courteous; fait hful; brave; N. chivalry
choice,delicate; of very fine quality
choir,group of people who sing toge ther (esp. during religious
choleric,hot-tempered; bad-tempered; irritable; easily angered; CF. cholera
chore,"daily domestic task (such as cleaning, cooking, and shopping); unpleasant task"
choreography,art of representing dances in written symbols; arrangement of
chortle,chuckle with delight; N.
chorus,phrase repeated throughout a song or poem
chronic,long established as a disease
chronicle,report; record (in chronological order)
chuckle,laugh quietly
churlish,boorish; rude; N. churl: boor; yahoo
ciliated,having minute hairs;  CF. cilium; CF. cilia: eyelash
cipher,nonentity; worthless person or thing; zero; secret code; V.
circlet,"small ring; band of gold, silver, jewel, etc. (worn on the head,"
circuit,closed circular line around an area; circumference; regularly
circuitous,roundabout
circumlocution,indirect or roundabout expression (by using an uncecessarily
circumscribe,limit; confine; draw a line around
circumspect,prudent; cautious; acting after careful thought
circumvent,outwit; defeat by behaving more cleverly; outsmart; baffle; avoid; get around
cistern,reservoir or water tank
citadel,fortress
cite,quote; commend; Ex. cited for bravery in an official record
civil,having to do with citizens; not military or religious; courteous
clairvoyant,having foresight; fortuneteller; N. clairvoyance
clamber,climb by crawling with difficulties; scramble
clamor,loud continous noise; continuous demand or complaint made by a large number of people; V: make a clamor; express (a
clandestine,secret
clangor,loud resounding noise; sound of repeated clanging
clap,strike the palms of the ha nds together with a sudden
clapper,striker (tongue) of a bell
clarion,"shrill, trumpetlike sound; kind  of trumpet used in former"
clasp,hold firmly within arms
claustrophobia,fear of being locked in
clavicle,collarbone
cleave,split or sever; cling to; remain faithful to; N. cleavage; ADJ.
cleft,N: split
clemency,disposition to be lenient in deciding punishments; mildness
clich\'e,phrase dulled in meaning by repetition; platitude; ADJ.
clientele,body of customers
climactic,relating to the highest point; N. climax; CF. climatic
clime,climate
clip,cut off with shears; fasten; N: something clipped off (as a
clipper,sailing vessel built for great speed
clique,small exclusive group of people
cloister,monastery or convent
clot,half-solid lump formed from a liquid (or blood); V.
clout,great influence (especially politica l or social); hard blow with
clown,act stupidly; play the fool; N.
cloying,distasteful (because excessi ve); excessively sweet or
coagulate,congeal; thicken; clot; N. coagulant
coalesce,combine; fuse; N. coalescence
coalition,partnership; league; un ion of separate political parties
coax,persuade by flattery
coda,concluding section of a musical or literary composition
coddle,treat gently; indulge excessively; pamper; mollycoddle; baby; cook in water just below boiling point; Ex. coddled eggs
codicil,supplement to the body of a will; later addition to a will
codify,arrange (laws or rules) as a code; classify; N. code: system of
coercion,use of force to get someone to object; compelling; V. coerce
coeval,living at the same time as; existing during the same period of
cog,tooth projecting from a wheel
cogent,convincing
cogitate,think over; ponder
cognate,having a common origin; related linguistically; allied by blood; similar or akin in nature; Ex. cognate languages; N.
cognitive,having to do with knowing or pe rceiving related to the mental
cognizance,knowledge; ADJ. cogni zant; having knowledge; aware
cohabit,live together
cohere,stick together
cohesion,tendency to keep together
cohorts,group of people who share some common quality; armed band; a group of between 300 and 600 soldiers under one commander (in the ancient Rome)
coiffure,hairstyle
coin,make coins; invent or fabricate (a word or phrase); N. coinage: word or phrase recently invented
coincidence,"the chance occurrence, at the same time, of two or more"
colander,utensil with perforated bottom used for straining
collaborate,work together; cooperate treasonably with the enemy
collage,work of art put together from fragments
collate,examine and compare in order to verify authenticity; arrange in order (the sheets of a book before they are bound)
collateral,security given for loan; ADJ: secondary; descended from the
collation,a light meal; collating
collected,composed; calm; self-possessed
colloquial,pertaining to conversational or common speech; informal; N. colloquialism: colloquial expression
