Word,Meaning
earmark,set aside (money or time) for a particular purpose
earn,gain for the performance of service or labor; gain (something that one deserves); deserve
earthly,of this earth; terrestrial; worldly; not divine; possible; Ex. no earthly
earthy,unrefined; coarse; of earth;  Ex. earthy remarks; OP. ethereal
ebb,(of the tide) recede; lessen; di minish; N. OP. flow: rise of tide
ebullient,showing excitement; overflowing with enthusiasm; boiling; N. ebullience;
eccentric,irregular; odd; unconventio nal; whimsical; bizarre; not concentric
eccentricity,oddity; idiosyncrasy
ecclesiastic,ecclesiastical; pertaining to the church; N: minister; priest; cleric;
eclectic,selective; composed of elements draw n from disparate sources; selecting
eclipse,darken; extinguish; outshine; surpass; cause an eclipse
ecliptic,path of the sun and the planets
ecologist,person concerned with the interrela tionship between living organisms
economy,efficiency or conciseness in using something; thrifty management of resources
ecosystem,ecological community together with its environment
ecstasy,rapture; very strong feeling of joy and happiness; any overpowering
eddy,"swirling current of water, air, etc.; V."
edict,decree (especially one issued by a sovereign); official command
edifice,building (of imposing size)
edify,instruct; correct morally
eerie,weird; causing fear because strange
efface,rub out; remove the surface of
effective,effectual; producing a strong response ; striking; in operation; in effect;
effectual,able to produce a desired effect; valid
effectuate,effect; produce; achiev e; Ex. effectuate a reconciliation
effeminate,having  womanly traits
effervescence,inner excitement or exuberance; show ing high spirits; emitting bubbles
effete,having lost one's original power; barren; worn out; exhausted
efficacy,power to produce desired effect; ADJ. efficacious: effectual
effigy,"dummy; likeness of a person made of wood, paper, or stone; Ex. burn an effigy of the President"
effluvium,noxious(harmful) smell
effrontery,rudeness without any sense of shame; shameless boldness;
effulgent,shining brightly; brilliant
effusion,pouring forth; unrestrained outpouring of feeling; V. effuse: pour out;
ego,one's opinion of oneself; self-esteem
egoism,excessive interest in one's self; belief that one should be interested in
egotism,tendency to speak or write of oneself excessively; conceit; self-importance
egotistical,egotistic; excessively self-cen tered(egocentric); self-important; conceited
egregious,notorious; consp icuously bad or shocking
egress,exit; opening for going out; act of going out; OP. ingress
ejaculation,exclamation; abrupt ejection (to discharge sperm); V. ejaculate
elaborate,work out carefully; add more detail or information; ADJ.
elaboration,addition of details; intricacy
elastic,able to spring back into shape; quick to recover (as from disappointment); able to adapt to change; Ex. elas tic plans; N: elastic material
elated,filled with excited joy and pride; over joyed; in high spirits; joyful and
elegy,"poem or song expressing lamentation (for the dead); ADJ. elegiacal, elegiac"
elevation,elevated position; altitude; height; flat upright side of a building; angle made by pointing a gun; Ex. The elevation of her style is much admired;
elicit,draw out fact or information (by discussion or from someone)
elixir,cure-all; panacea; something invigorating
ellipsis,omission of words from a text; mark used to indicate an omission (when the meaning can be understood without them); PL. ellipses
elliptical,elliptic; oval; of an ellipse; containing an ellipsis; ambiguous either
elope,run away secretly with the intention of getting married
eloquence,expressiveness; persuasive  speech; ADJ. eloquent: movingly expressive;
elucidate,explain; make clear; clarify; enlighten; CF. lucid
elusive,"evasive; not frank; baffling; hard to gr asp, catch, or understand; V. elude:"
elysian,relating to paradise; blissful
Elysium,place or condition of bliss
emaciated,thin and wasted (from hunger or illness)
emanate,issue forth; come out
emancipate,set free; liberate
emasculate,weaken; castrate
embargo,ban on commerce or other activity
embark,commence; go on board a boat; begin a journey
embed(imbed),enclose; place in something; fix firmly in a surrounding mass
embellish,adorn; ornament; enhance as a story (by adding fictitious details)
embezzlement,taking for one's own use in violation of  trust; stealing (of money placed in
embitter,make bitter; fill with painful or bitte r feelings; make sad and angry; Ex.
emblazon,ornament richly (a shield or flag); N. emblazonment
embody,give a bodily form to; incorporate; include
emboss,produce a design in raised relief; decorate with a raised design
embrace,hug; clasp with the arms; adopt or espouse; accept readily; encircle;
embroider,decorate with needlework; ornament (a story) with fancy or fictitious details; embellish
embroil,"throw into confusion; involve in strife , dispute, or quarrel; entangle; CF."
embryonic,undeveloped; rudimentary; N. embryo: organism in the early stage of development
emend,correct (usually a text); N. emendation: correction of errors; improvement
emetic,substance causing vomiting; ADJ.
eminent,rising above others; high; lofty; distinguished; Ex. eminent position
emissary,agent (sent on a mission to represent another); messenger
emollient,soothing or softening remedy (for the skin); ADJ.
emolument,salary; payment for an office; compensation
empathy,"ability to identify with another's feel ings, ideas, etc.; identification with"
empirical,based on experience
emulate,imitate; rival; try to equal or excel (through imitation)
enact,make (a bill) into law
enamored,in love; Ex. enamored of his own beauty; V. enamor: inspire with love
encipher,encode; convert a message into code; put into cipher
encircle,surround
enclave,territory enclosed within an alien land
encomiastic,praising; eulogistic; N. encomium: very high praise; eulogy
encompass,surround; include; Ex. His acti vities encompass publishing and
encroachment,gradual intrusion; Ex. I resent all these encroachments on my valuable
encumber,burden; N. encumbrance
endear,make beloved; Ex. endear her to everyone; ADJ. dear: loved; cherished;
endearment,fond word or act; expression of affection
endemic,prevailing among a specific group of people or in a specific area or
endorse,approve; support; write one's signature on the back of; N. endorsement; CF. dorsal
endue,provide with some quality; endow
enduring,lasting; surviving; V. endure: bear (pain or suffering) for a long time;
energize,invigorate; give energy  to; make forceful and active
enervate,weaken; take away energy from
