Word,Meaning
fabricate,build; lie; make up (a story) in or der to deceive; Ex. fabricate the whole
facet,small plane surface (of a gem(precious stone)); a side
facetious,joking (often inappropriately); unserious; humorous
facile,easily accomplished; ready or fluent; superficial; not deep; Ex. facile
facilitate,help bring ab out; make less difficult
facsimile,copy
faction,party; clique (within a large group); dissension
factious,inclined to form  factions; causing dissension
factitious,artificial; produced artifici ally; sham; false; Ex. factitious tears
factotum,handyman; person who does all kinds of work; CF. do everything
faculty,mental or bodily powers; teaching staff
fake,not genuine; N: one that is not genuine; impostor; sham; V: counterfeit; Ex. fake the results of the experiment/the signature
fallacious,false; based on a fallacy; misleading; N. fallacy: false idea or notion;
fallible,liable to err
fallow,(of land) plowed but not sowed (to improve the quality); uncultivated
falsify,make (something written) false by changing
falter,hesitate; weaken in purpose or action; walk or move unsteadily through
fanaticism,excessive zeal; extreme devotion to a belief or cause; N. fanatic; ADJ.
fancied,imagined; unreal
fancier,"breeder or dealer of animals; one who has a special interest, as for raising specific plant or animal"
fanciful,whimsical; visionary; imaginary; prod uced by imagination; Ex. fanciful
fancy,imagination (of a whimsical or fantastic nature); capricious liking; V:
fanfare,call by bugles or trumpets; sh owy display; spectacular public display
farce,broad comedy; mockery; humorous pl ay full of silly things happening;
far-fetched,too improbable to be beli eved; implausible; Ex. far-fetched story
fashion,give shape to; make; Ex. fashion the pot out of clay
fastidious,difficult to please; squeamish; fussy; finicky
fatalism,belief that events are determined by forces or fates beyond one's
fathom,comprehend; investigate; determine the depth of; N. unit of measurement for the depth of water
fathomless,too deep to be measur ed or understood; unfathomable
fatuous,"smugly and unconsciously foolis h; inane; silly; N. fatuity, fatuousness"
fauna,animals of a period or region; CF. flora
favoritism,display of partia lity toward a favored person
fawning,courting favor by cringing and flattering; V. fawn: exhibit affection as a
faze,disconcert; dismay; embarrass
feasible,practical; able to be carried out; practicable
feature,distinctive part of the faces (as th e eyes or mouth); features: overall
febrile,feverish
fecundity,fertility; fruitfulness; ADJ. fe cund: very productive of crops or young
feebleminded,deficient in intelligence; very stupid
feign,pretend
feint,trick; shift; sham blow; feigned attack to draw away defensive action; V.
felicitous,(of a word or remark) ap t; suitably expressed; well chosen
felicity,"happiness; appropriateness (of a remark, choice, etc.); quality of being"
feline,of a member of the cat family; N.
