Word,Meaning
gadfly,animal-biting fly; irritating person
gaffe,social blunder
gainsay,deny
gait,manner of walking or running; speed
galaxy,"large isolated system of stars, such as  the Milky Way; collection of brilliant"
gale,"windstorm; gust of wind; emotional outburst (laughters, tears); Ex. gale of"
gall,annoy; exasperate; chafe; N: skin sore caused by rubbing (as on the skin of a
galleon,large three-masted sailing ship
galley,low ship with sails (rowed along by slaves)
gallows,framework from which a noose is suspended (used for execution by hanging)
galvanic,of the production of electricity by the ac tion of an acid on a metal; having the
galvanize,stimulate or shock by an electric cu rrent; stimulate by shock; shock into
gambit,opening in chess in which a piece is sacrificed; action made to produce a future advantage
gambol,romp; skip about; leap about playfully; frolic; N.
gamely,in a spirited manner; with courage; Ex. fight gamely against a superior boxer;
gamut,entire range
gangrene,decay of body tissue caused by insuffi cient blood supply (usually following
gape,open widely; open the mouth wide; stare wonderingly with the mouth open;
garbled,mixed up; jumbled; distorted; V. garble: mix up or distort (a message) to such
gargantuan,huge; enormous; gigantic; CF. the hero of Gargantua and Pantagruel
gargoyle,waterspout carved in grotesque figures on a building
garish,overbright in color; unpleasantly bright; gaudy
garner,gather; store up; amass
garnish,decorate; add a garnish to; decorate (food or drink) with small items such as
garrulous,loquacious; wordy; talkative; N. garrulity
gastronomy,art and science of preparing and serving good food; CF. gastronome
gauche,clumsy (in social behavior); coarse and uncouth
gaudy,flashy; showy
gaunt,lean and angular; thin  and bony; emaciated; barren
gavel,hammerlike tool; mallet(wooden hammer) used by a presiding officer or an
gawk,stare foolishly; look in open-mouthed awe
gazette,official periodical publication; newspaper
genealogy,record of descent; line age; ancestry; study of ancestry
generality,vague statement; general statement whic h is not detailed; quality of being
generate,cause; produce; create
generic,characteristic of an entire class or species; of a genus
genesis,beginning; origin
geniality,cheerfulness; kindliness; sympathy ; ADJ. genial: cheerful and good-tempered
genre,particular variety of art or literature
genteel,well-bred; elegant; striving to convey an appearance of refinement; Ex. genteel poverty
gentility,those of gentle birth; high social class; refinement; quality of being genteel
gentle,kindly; soft; mild; of good family
gentry,people of standing(rank or position); pe ople of good family or high social
position; class of people,just below nobility
genuflect,bend the knee as in worship
genus,"division of animals or plants , below a family and above a species"
geriatrics,medical treatment and care of old age
germ,earliest form of an organism; seed or bud; something that may develop into
germane,pertinent; bearing upon(having co nnection with) the case at hand;
germinal,pertaining to a germ ; creative; Ex. germinal idea
germinate,cause to sprout; sprout
gerontocracy,government ruled by old people
gerontology,study of the sociological  phenomena associated with old age
gerrymander,change voting district lines in order to favor a political party; N. CF. Elbridge
gestate,evolve as in prenatal growth; N. gestation: period of development from
gesticulation,motion; gesture; V. gestic ulate: make gestures (while speaking)
ghastly,horrible; terrifying; resembling ghosts; CF. aghast
gibberish,nonsense; nonsensical or un intelligible talk or writing; babbling
gibe,mock; make jeering remarks; N: jeering remarks
giddy,light-hearted; not serious; frivolous; dizzy; causing dizziness; Ex. giddy youth;
gild,cover with a thin layer of gold
gingerly,very carefully; ADJ.
girth,distance around something; circumference
gist,essence; main point; substance
glacial,like a glacier; of an ice age; extremely cold; Ex. glacial epoch; CF. iceberg
glamor,compelling charm; ADJ. glamorous
glare,shine intensely and blindingly; stare fixedly and angrily; N.
glaring,(of something bad) highly conspicuous; harshly bright; shining intensely and
glaze,"cover with a thin and shiny surface; a pply a glaze to; N: thin, smooth, shiny"
gleam,brief flash of light; glow; V.
glean,gather leavings; gather grain left behind by  reapers; gather bit by bit (facts or
glib,fluent (with insincerity or superficiality); facile; slick
glimmer,shine erratically; twinkle; N: dim or unsteady light; faint indication; Ex.
glitter,shine brightly with flashing points of light; Ex. glittering diamond ring; N:
gloat,express evil satisfaction; look at or th ink about with evil satisfaction; view
gloss,brief explanation note or translation of a difficult expression; V.
gloss_over,explain away with the inte ntion of deceiving or hiding faults
glossary,brief explanation of words used in the text
glossy,smooth and shining; N. gloss: shiny brightness on a surface; superficially
glow,shine brightly without a flame (as of eyes or meta ls); show redness and heat
glower,scowl; glare; look or stare angrily
glut,overstock; fill beyond capacity (wit h food); fill to excess; N: oversupply
glutinous,sticky; viscous; gluey
glutton,someone who eats too much; ADJ. glutto nous: given to gluttony; greedy; CF.
gnarl,protruding knot on a tree; V.
gnarled,twisted
gnome,dwarf; underground spirit who guards treasure hoards
goad,urge on; drive with a go ad; cause (someone) to do something by continued
gobble,eat very quickly
gorge,stuff oneself (with food); glut;  CF. gorgeous: dazzlingly beautiful
gory,bloody; N. gore: blood (from a wound)
gossamer,sheer; very light; like cob webs; N: soft and sheer fabric; cobweb
gouge,overcharge (with high price); exto rt from; Ex. gouge the public; CF. usury
gourmand,epicure; person who takes excessive pleasure in food and drink
gourmet,connoisseur of food and drink; epicure
gracious,kind in a generous way (to someone less important)
gradation,series of gradual stages; degree in such a progression
graduate,arrange into categories or grades; divi de into marked intervals (for use in
graduated,"arranged by degrees (of height, difficulty, etc.)"
granary,storehouse for grain
grandeur,impressiveness; stateliness; majesty
grandiloquent,(of a person or speech) using high sounding or important-sounding language;
grandiose,affectedly grand; pretentious; high -flown; ridiculously exaggerated;
granulate,form into grains or granules; N. granule: grain or particle
graphic,pertaining to the art of  delineating; vividly described
graphite,black form of carbon used in lead pencils
grapple,wrestle; come to grips with; take hold of and struggle with; Ex. grapple with
grate,make a harsh noise; have an unpleasa nt effect; shred by rubbing against a
gratify,please; satisfy; Ex. gratify a desire
gratis,free; without charge; ADJ.
gratuitous,given freely; unwarranted; uncalled for; done without good reason; Ex.
gratuity,n. money given to sb who has done one a service; tip ;
gravity,seriousness; ADJ. grave
graze,(of an animal) feed on growing grass; cause (an animal) to feed on grass; scrape (esp. the skin) or touch lightly in  passing; brush; Ex. We can't graze the
gregarious,sociable; (of an animal) tending to form a group
grievance,cause of complaint; complaint
grill,question severely; cook on a grill; broil; N: cooking surface of parallel metal bars
grim,causing great fear; unrelenting; determined in spite of fear; Ex. grim smile
