Word,Meaning
ichthyology,study of fish; CF. ichthyo-: fish
icon(ikon),religious image; idol; image or representation
iconoclastic,attacking cherished traditions; N. iconoclast: one who attacks traditional
ideology,system of ideas characteristic of a group or culture
idiom,expression whose meaning as a wh ole differs from the meanings of its
idiosyncrasy,individual trait usually odd in nature; behavioral peculiarity; eccentricity;
idle,not working; not employed or busy; lazy; without purpose; useless; lacking substance; baseless; not based on truth; Ex. idle worker; Ex. talk idly; V.
idolatry,worship of idols; excessive ad miration or devotion; ADJ. idolatrous
idyll(idyl),short poem idealizing rural life; simple happy period of life (in the country);
idyllic,charmingly carefree; simple and happy; Ex. idyllic scene
igneous,produced by fire; of fire; volcanic; (of rocks) formed from lava; Ex. igneous meteorite
ignite,kindle; light; catch fire or set fire to
ignoble,unworthy; not noble; dishonorable; Ex. ignoble deed
ignominy,deep disgrace; shame or dishonor; ADJ. ignominious; Ex. ignominous defeat
illicit,illegal
illimitable,infinite; limitless
illuminate,brighten; clear up or make understandable; enlighten; enable to understand; Ex. illuminating remarks
illusion,misleading vision or visual im age; false idea or belief; CF. delusion
illusive,deceiving; based on i llusion; causing illusion; deceptive
illusory,illusive; deceptive; not real
imbalance,lack of balance or symmetry; disproportion
imbecility,weakness of mind; state of being an imbecile; N. imbecile: stupid person; fool
imbibe,drink in
imbroglio,complicated situation (as in a play); painful or complex misunderstanding
(as in a play); entanglement; confused,mass (as of papers); V. embroil
imbue,saturate(soak thoroughly); fill; Ex. imbue someone with feelings
immaculate,spotless; flawless; absolutely clean
imminent,impending; near at hand
immobility,state of being immovable
immolate,offer or kill as a sacrifice (by fire)
immune,resistant to; free or exempt from; N. immunity
immure,imprison; shut up in confinement; CF. wall
immutable,unchangeable
impair,injure; hurt; damage
impale,pierce (with a sharp po int); Ex. impaled by the spear
impalpable,imperceptible(not easily understood);  intangible; OP. palpable: tangible;
impart,grant a share of; make known; Ex. news to impart
impartial,not biased; fair; N. impartiality
impassable,not able to be traveled or crossed
impasse,predicament(dangerous condition) from which there is no escape; situation
impassioned,(of speech) fi lled with passion; fervent
impassive,without feeling; expressionless; imperturbable; stoical; Ex. impassive face
impeach,charge (a public official) with crime in office; raise doubts about; indict; Ex. impeach a witness's credibility
impeccable,faultless
impecunious,without money
impede,hide; retard or obstruct the progress of; block
impediment,hindrance; stumbling-block; speech defect  preventing clear articulation; Ex.
impel,drive or force onward; drive to take action; urge to action
impending,nearing; approaching; about to happen
impenetrable,not able to be pierced or entered; beyond understanding; impossible to
impenitent,not repentant
imperative,absolutely necessary; that must be do ne; critically important; expressing
imperceptible,unnoticeable; impo ssible to perceive; undetectable
imperial,like an emperor; rela ted to an empire; CF. imperialism
imperil,put in danger
imperious,domineering; too commandin g; haughty; CF. imperial/emperor
impermeable,impervious; not permitting passage th rough its substance; impossible to
impersonal,not being a person; not show ing personal feelings; Ex. impersonal
impertinent,insolent; rude; not pertinent; N. impertinence
imperturbable,unshakably calm; placid
impervious,impenetrable; incapable of being damage d or distressed; incapable of being
impetuous,violent; hasty; rash; impulsive; wi thout careful thought; Ex. impetuous
impetus,moving force; momentum; force of a moving body; incentive; stimulus;
impiety,irreverence; lack of respect for God or piety
impinge,infringe; encroach; influence; touch; collide with; Ex. The effects are
impious,irreverent
implacable,incapable of being pacified; im possible to appease; Ex. implacable enemy
implausible,unlikely (to be true); unbelievable; Ex. implausible alibi
implement,put into effect; enforce; carry out; supply with tools; Ex. implement the plan/suggestion; N: tool or instrument
implicate,incriminate; involve incriminatingly; sh ow to be involved (in a crime); Ex.
implication,something hinted at or suggested; implying; implicating
implicit,understood but not stated; implied;  unquestioning and complete; Ex.
implode,burst inward; CF. vaccum tube
implore,v. ask or beg earnestly; beseech
imply,suggest a meaning not expressed; signify
impolitic,not wise; not expedient; not politic
imponderable,weightless; that cannot undergo precise evaluation; CF. pound
import,significance; importance; meaning
importunate,urging; always demanding; troublesomely urgent or persistent
importune,beg persistently; make repe ated requests (in an annoying way)
imposture,assuming a false identity; masquerade; CF. impostor
impotent,weak; ineffective; lacking in physical strength or power
impoverish,make poor; deprive of natural strength or something important; Ex.
imprecation,curse; swearword
impregnable,invulnerable; impossible to capture or enter by force; Ex. impregnable
impregnate,make pregnant; fill thoroughly; saturate
impromptu,without previous preparation; off the cuff(end of a sleeve); on the spur of the moment
impropriety,improperness; unsuitableness
improvident,thriftless; not providing for the future
improvise,compose on the spur of the moment
