Word,Meaning
nadir,lowest point; point on the celestia l sphere diametrically opposite the
narcissist,conceited person; N. narcissism; CF. narcissus
narrative,related to telling a story; N: narrate d account; story; V. narrate: tell (a
nascent,incipient; coming into being or existence; Ex. nascent ability in music
natal,connected with birth;  CF. prenatal; CF. postnatal
natation,swimming
natty,neatly or smartly dressed;  dapper; smart; Ex. natty dresser
nausea,feeling of sickness and desire  to vomit; disgust; CF. seasickness
nauseate,cause to become sick; fill with disgust; fill nausea
nauseous,causing nausea; feeling nausea
nautical,pertaining to  ships or navigation
navigable,(of a body of water) wide and deep enough to allow ships to pass through;
nebula,diffuse mass of interstellar dust or gas; galaxy
nebulous,vague; hazy; cloudy; of a nebula; Ex. nebulous proposal
necromancy,black magic; sorcery; dealings with  the dead; art that professes to
nectar,drink of the gods; sweet liquid collected by bees
nefarious,very wicked
negate,cancel out; nullify; cause to  have no effect; deny; N. negation
negligence,neglect; failure to take reasonable ca re; ADJ. negligent: neglectful; lax; not
negligible,"so small, trifling, or unimportant as to be easily disregarded"
nemesis,someone seeking revenge; sour ce of downfall or ruin; CF. Nemesis
neologism,new or newly coined word or phrase
neophyte,recent convert; new member of  a religious group; beginner; CF. plant
nepotism,favoritism (to a relative); CF. nephew
nether,lower; Ex. nether garments/regions
nettle,irritate; annoy; vex; ADJ. nettlesome
nexus,connection
nib,beak(bill); pen point
nicety,precision; accuracy; minute distinction or difference; Ex. to a nicety:
niggardly,meanly stingy; parsimonious; N. niggard: stingy person
niggle,spend too much time on minor points (e sp. when finding fault); find fault;
nihilist,one who considers traditional beliefs to be groundless and existence
nimble,quick in movement; agile; quick in understanding; Ex. nimble climber/mind
nip,snip off; stop something's growth or  development; bite; make numb with
nirvana,"in Buddhist teachings, the ideal state in which the individual loses himself"
nocturnal,done or active at night; Ex . nocturnal animals/raids; CF. nocturne
noisome,foul smelling; very unpleasant; unwholesome
nomadic,wandering; N. nomad: tribe who migrates from place to place
nomenclature,terminology(system of specialized wo rds); system of names or naming
nominal,in name only; of a name; trifling; (o f a sum of money) very small; CF.
nonchalance,indifference; lack of concern; comp osure; ADJ. nonchalant: unconcerned;
noncommittal,neutral; refusing commitment to a particular opinion; unpledged;
nondescript,undistinctive; ordinary; ordinary-looking; Ex. nondescript fellow in a crowd
nonentity,person of no importance; nonexistence
nonplus,put at a loss; bring to a halt by confusion; perplex; CF. no more
nonsense,speech or writing with no meaning; foolish behavior or language; Ex.
noose,loop formed in a rope
nostalgia,homesickness; longing for the past; Ex. nostalgia for the clothes of 1920s; ADJ. nostalgic
nostrum,questionable medicine; quack medicine; CF. our (remedy)
notable,conspicuous; worthy of note; rema rkable; important; distinguished; noted
notch,V-shaped cut in a surface; V.
notoriety,disrepute; ill fame
nourish,provide with food necessary for life and growth
nourishment,something that nourishes; food
nova,star that suddenly becomes much bright er and then returns to its original
novelty,something new; newness;  ADJ. novel: new; original
novice,beginner
noxious,harmful; CF. obnoxious
nuance,shade of slight difference in meaning or color; subtle distinction
nubile,marriageable; of marriageable age; CF. connubial
nugatory,worthless; futile
nullify,make invalid; make null; invalidate
numismatist,"person who collects coins; N. numismat ics: study or collection of money,"
nuptial,related to marriage or the wedding  ceremony; N. nuptials: wedding
nurse,suckle; take care of (as a nurse); bear in mind; Ex. nursing mother; Ex. nurse a hope/grudge against someone
nurture,nourish; feed; educate; rear; care fo r while it is growing or developing;
nutrient,nourishing substance; ADJ: providing nourishment
nutrition,process of nourishing or being nourished; CF. malnutrition
nutritious,providing nourishment
