Word,Meaning
oaf,stupid awkward person; CF. elf
oath,solemn promise; blasphemous use of sacred words to express strong feelings;
oatmeal,crushed oats used for making porridge
obdurate,stubborn; refusing to change one's belief
obeisance,bow (to show respect and obedience)
obelisk,tall column tapering(becoming gradually narrower toward the end) and
obese,excessively fat; N. obesity
obfuscate,confuse; muddle; cause confusion; ma ke needlessly complex; make so
obituary,death notice (esp. in a newspaper); ADJ.
objective,not influenced by emotions; fair; N: goal; aim
obligatory,binding; required; compulsory; V. oblige: constrain; make grateful; do a
oblique,indirect; slanting (deviating from the pe rpendicular or from a straight line);
obliterate,destroy completely; wipe  out; Ex. obliterate the village
oblivion,obscurity; condition of be ing completely forgotten; forgetfulness
oblivious,inattentive or unmindful; unaware; wholly absorbed; forgetful(having the
obloquy,slander; disgrace; infamy
obnoxious,offensive; disagreeable; Ex. obnoxious smell
obscure,dark; vague; unclear; not well know n; Ex. obscure meaning/village; V:
obsequious,slavishly attentive; servile;  full of servile compliance; sycophantic
obsequy,funeral ceremony
obsessive,related to thinking about something constantly; of an obsession; preoccupying; N. obsession: compulsiv e preoccupation with a fixed idea;
obsidian,black volcanic rock
obsolete,outmoded; no longer used
obstetrician,physician specializing in delivery(assist ing in giving birth) of babies; N.
obstinate,stubborn; hard to control or treat; Ex. obstinate cough; N. obstinacy
obstreperous,boisterous; noisy and uncontrollable
obtrude,push (oneself or one's ideas) forward or intrude; impose (oneself or one's
obtuse,blunt; not sharp; stupid; slow in understanding
obviate,make unnecessary; get rid of; Ex. obviate the need
Occident,the West
occlude,shut; close; obstruct; Ex. A blood clot occluded an artery.
occult,mysterious; secret; supernatural; beyond human comprehension; CF. mysterious to human ?; OP. bare
oculist,physician who specializes in treatment of the eyes
odds,chances; probability; disagreement; Ex. The odds are that it will rain. Ex. at
odious,arousing strong dislike;  hateful(causing hatred); vile
odium,detestation; quality of being odious; hatefulness; disrepute (resulting from
odoriferous,giving off an odor
odorous,having an odor
odyssey,"long, eventful, adventurous journey"
offensive,attacking; insulting; distasteful; V. offend: violate; hurt the feelings of; N. offense: offending; violating of a moral or social code; crime; attack; Ex. first
offhand,casual; done without prior thought or preparation
officious,meddlesome; excessively pushy in offeri ng one's services; overly eager in
ogle,look at amorously; make eyes at; Ex. old men ogling young girls
olfactory,concerning the sense of smell
oligarchy,government by a privileged few
ominous,threatening; of an evil omen
omnipotent,all-powerful; having unlimited power
omnipresent,universally present; ubiquitous
omniscient,all-knowing
omnivorous,eating both plant and animal food; devouring everything
onerous,burdensome
onomatopoeia,words formed in imitation of natural sounds
onslaught,vicious assault; fierce attack; Ex. unexpected onslaught of the enemy
onus,burden; responsibility
