Word,Meaning
pachyderm,thick-skinned animal
pacifist,one opposed to force; antimilitarist ; ADJ. N. pacifism: opposition to
pacify,soothe; make calm or quiet; subdue; bring peace to
padre,chaplain (in the armed forces)
paean,song of praise or joy; Ex. paeans celebrating the victory
painstaking,taking pains; showing hard work; taking great care; very careful and
palatable,agreeable; pleasing to the taste
palate,roof of the mouth; sense of the taste
palatial,of or suitable for a palace; magnificent
paleontology,study of prehistoric life or fossils; CF. paleo-: ancient or prehistoric;
palette,board on which painter mixes pigments(coloring matters)
palimpsest,parchment or piece of writing material used for second time after
pall,become boring; grow tiresome
pallet,small poor bed; Ex. straw pallet
palliate,ease pain (without curing); make le ss severe or offensive (a crime or
pallid,pale; wan; Ex. pallid complexion
palm,conceal in the palm of the hand; palm off: pass off; Ex. palm off some bad oranges onto the lady/the painting as a real Renoir
palpable,tangible; (of something bad) easily perceptible; obvious; Ex. palpable
palpitate,throb; beat rapidly; flutter; tr emble; Ex. Her heart began to palpitate.
paltry,insignificant; petty; trifling; contemptible; Ex. paltry sum; CF. trash
pan,criticize harshly
panacea,cure-all; remedy for all diseases
panache,flair; manner of doing things without any difficulty (causing
pandemic,widespread; affecting the majority of people; N: pandemic disease; CF. all people
Pandemonium,wild tumult(commotion); wi ld noisy disorder; CF. Paradise Lost
pander,cater to (the low desires of others)
panegyric,formal praise; encomium; Ex. I don't deserve such panegyrics.
pang,sudden sharp feeling of pain
panoramic,denoting an unobstructed and comprehensive view; N. panorama: unbroken view of a wide area
pantomime,acting without dialogue; V.
papyrus,ancient paper made from stem of papyrus plant
parable,short simple story teaching a moral
paradigm,model; example that serves as a model; pattern; list of all the
paradox,something apparently contradictory  in nature (that may nonetheless
paragon,model of perfection; Ex. paragon of virtue
parallel,similar; analogous; corresponding; N: parallel line; person or thing
parallelism,state of being parallel; similarity; analogy
parameter,limit; independent variable; Ex. parameters of the problem; Ex. within the parameters of the budget
paramount,foremost in importance; supreme; CF. para-: beyond; above; Ex. paranormal
paramour,illicit lover
paranoia,psychosis marked by delusions of grandeur or persecution; N: ADJ:
paraphernalia,equipment; odds and ends used in  a particular activity; personal
paraphrase,restate a passage in one's own words while retaining thought of author; N: restatement of a text in other words
parasite,animal or plant living on an other; toady; sycophant; CF. para-: beside
parched,extremely dry; very thirsty; V. pa rch: make or become extremely dry
parchment,writing material made from the skin of a sheep or goat
pare,cut away the outer covering or skin of (with a knife); trim; Ex. pare apples/expenses
pariah,social outcast; Ex. Mariah the pariah
parish,area in the care of a single priest and served by one main church
parity,equality; close resemblance; CF. disparate
parlance,language; manner of speaking ; idiom; Ex. in legal/common parlance
parley,conference (between opponents); CF. speak
parochial,narrow in scope or outlook; provincial; related to parishes
parody,humorous imitation; spoof; takeoff; travesty; V.
paroxysm,"fit or attack of pain, laughter, rage; sudden outburst"
parquet,floor made of wood strips inlaid in  a mosaic like matter; CF. strip:
parry,ward off a blow; deflect; Ex. He pa rried the unwelcome question very
parsimony,stinginess; excessive frugality; ADJ. parsimonious
partial,incomplete; favoring one side over  another; having a liking for
partiality,state of being partial; inclination;  favorable bias; special fondness;
partisan,one-sided; prejudiced; committed to a party (with dislike of any
partition,divide into parts
parvenu,upstart; newly rich person
pass\'e,old-fashioned; past the prime
pass_off,present falsely; represent falsely to be
passive,not active; acted upon; receiving an action without acting in return;
paste,smooth viscous mixture as of flour(powder made by crushing grain) and water (used as an adhesive); V: cause to adhere by applying paste
pastiche,imitation of another's st yle in musical com position or in writin g; work
pastoral,rural; of rural life; idyllic; of a pastor
pastry,paste of flour and water (eaten when baked)
patent,obvious; easily seen; open for the pu blic to read; of or protected by a
pathetic,"causing sadness, compassion, pity; touching"
pathological,pertaining to diseas e; N. pathology: study of disease
pathos,tender sorrow; pity; quality in art or literature that produces these
patina,green crust on old bronze works or  copper; tone slowly taken by
patois,local or provincial dialect
patriarch,father and ruler of a family or tribe
patrician,noble; aristocratic; N: person of high rank; aristocrat; CF. member of
patrimony,property inherited from a father
patronize,support; act superior toward; treat in a condescending manner; be a
paucity,scarcity; dearth
pauper,very poor person
peccadillo,slight offense or fault; CF. sin
pecuniary,pertaining to money
pedagogue,teacher; CF. child leader
pedagogy,teaching; art of education
pedant,"scholar who overemphasizes book learning, trivial details of learning, or technicalities"
pedantic,bookish; showing off learning; mark ed by an excessive ostentatious
peddle,travel about selling (wares); CF. foot
pedestal,support or base as for a pillar or statue
pedestrian,ordinary; dull; unimaginative(lackin g in imagination); going on foot;
pediatrician,physician specializing in  children's diseases; N. pediatrics
pedigree,ancestry; lineage
peer,one who has equal standing with another; nobleman; V: look intently;
peerless,having no equal; incomparable
peevish,bad-tempered; irritable; V. peeve: make angry
pejorative,(of a word or phrase) suggesting that someone is of little value; negative in connotation; having a belittling effect; Ex. Many women
pell-mell,in confusion; disorderly; Ex. dash pell-mell
pellucid,transparent; limpid(crystal clear); clear in meaning; easy to understand
pen,fenced enclosure for animals; confining space; Ex. sheep pen; V: confine in a pen; enclose
penance,self-imposed punishment for sin; Ex. do penance for one's sins; CF. penitent
penchant,strong inclination; strong liking (esp. for something that is
pending,not yet decided or settled; impending; Ex. pending decision; PREP.
pendulous,hanging; suspended
penetrate,enter into; pierce; permea te; see through; grasp the inner significance
penitent,repentant; N.
penology,study of prison management and criminal rehabilitation
pensive,dreamily or deeply thoughtful; sa dly thoughtful; thoughtful with a
penumbra,partial shadow (in an eclipse); CF. almost shadow
penury,extreme poverty; stinginess; ADJ. penurious: very poor; stingy
peon,landless agricultural worker; bond servant; menial worker; N. peonage
perceptive,insightful; showing a good ability at  perceiving and understanding;
percussion,striking one object against an other sharply; Ex. percussion
perdition,damnation; complete ruin; hell
peregrination,journey; V. peregrinate
peremptory,demanding and leaving no choice; imperative; Ex. peremptory decree/knock
perennial,something long-lasting; perennial plant; ADJ: lasting through the year or many years; lasting for a long time; enduring
perfidious,treacherous; disloyal; N. perfidy: treachery
perforate,pierce; put a hole through
perfunctory,"done routinely and with little care; superficial; not thorough; lacking interest, care, or enthusiasm; Ex. perfunctory kiss"
perigee,point of moon's orbit when it is nearest the earth; CF. apogee
perimeter,outer boundary; length of  the outer boundary; circumference
peripatetic,walking about from place to place (to work); moving; Ex. peripatetic
peripheral,of a periphery; marginal; oute r; of minor importance; not central; Ex.
periphery,outside edge especially of a round su rface; perimeter; Ex. periphery of
perjury,false testimony while under oath; V. perjure oneself: testify falsely
permeable,that can be permeated; penetrable; porous; allowing liquids or gas to
permissive,allowing much freedom ; lenient; Ex. permissive society
pernicious,very harmful; deadly; very destructive; Ex. pernicious effect/anemia
peroration,conclusion of an oration; perorating; V. perorate: conclude a speech; speak at great length
perpetrate,commit an offens e; do (something wrong)
perpetual,everlasting
perpetuate,make perpetual; make something last  for a long time; preserve from
persevere,continue steadily in spite of difficulties
persist,continue in existence; last; continue in a course of action in spite of
personable,attractive (in personality or appearance)
personify,represent (an inanimate object) as a person; be the embodiment or
perspicacious,(of someone) havi ng insight; penetrating; astute
perspicuity,clearness of expression; freedom from ambiguity
perspicuous,(of something) plainly expresse d; easy to understand; Ex.
pert,(esp. of a girl or young woman) im pertinent; forward; trim; jaunty;
pertinacious,holding tenaciously to an action; stubborn; persistent
pertinent,suitable; to the point; relevant
perturb,disturb greatly
peruse,read through with care; N. perusal
pervasive,"spread throughout; V. pervade: (o f smells, ideas, feelings) spread"
perverse,purposely continuing to do something wrong; stubbornly
perversion,corruption; turning from right to wrong
pervert,corrupt; turn from right to wrong; misuse; Ex. perverted sexual desire/scientific knowledge; N: pers on whose sexual behavior is not
pessimism,belief that life is basically bad or  evil; gloominess; tendency to take
pestle,tool for mashing or grinding substances in a hard bowl or mortar
petrify,turn to stone; cause to become stonelike; stun or paralyze
petty,trivial; unimportant; very  small; small-minded; petty-minded
petulant,touchy; peevish; ill-tempered
phalanx,formation of infantry carrying overlapping shields and long spears;
pharisaical,"pertaining to the Pharisees, who paid scrupulous attention to"
pharisee,Pharisee: member of an ancient Jewi sh group that emphasized strict
phenomena,"observable facts; subjects of scientific investigation; SG. phenomenon: observable fact; very unusual person, thing, or event;"
philanderer,faithless lover; flirt
philanthropist,lover of mankind;  doer of good; N. philanthropy
philatelist,stamp-collector; N. philately: stamp collecting
Philistine,"narrow-minded person, uncultured and exclusively interested in material gain; uncultured person who is indifferent to artistic and cultural values; member of an ancient people in Palestine; OP."
philology,study of language or words
phlegmatic,calm and unexcitable; not easily di sturbed; CF. phlegm: sticky mucus
phobia,morbid fear
phoenix,symbol of immortality or rebi rth; Ex. phoenix rising from its ashes
phylum,"major classification, second to kingdom, of plants and animals;"
physiognomy,face (as showing the character and the mind); art of judging human character from facial features
physiological,pertaining to the science of the function of living organisms; N.
piebald,of different colors; mottled; spotted in different colors (esp. in black and white); Ex. piebald horse; CF. pie+bald
piecemeal,one part at a time; gradually; in stages; Ex. read a novel piecemeal
pied,piebald; variegated(many-colored); multicolored
piety,devoutness; revere nce for God; ADJ. pious
pigment,coloring matter (usually powder to be mixed with water or oil)
pilfer,steal things of sm all value; filch; snitch
pillage,plunder
pillory,punish by placing in a wooden frame or pillory; subject or expose to criticism and ridicule; N.
pinch,"squeeze between the thumb and a finger, or other edges; Ex. I had to pinch myself to make sure I wasn't  dreaming. N: amount that can be"
pine,long for; yearn; languish from longing or grief; decline
pinion,restrain or immobilize by bind ing the wings or legs; N: bird's wing
pinnace,small boat
pinnacle,peak; highest point; acme; Ex. pinnacle of fame
pious,devout; religious; N. piety
piquant,pleasantly tart-tasting; spicy; pl easantly stimulating; Ex. piquant
pique,irritation; resentment from wounded pride (eg. loss in a contest); V:
piscatorial,pertaining to fishing; CF. Pisces
pitfall,hidden danger; concealed trap
pith,core or marrow; spongelike substance in the center of stems; essence; substance
pithy,concise and meaningful; substantial; meaty
pittance,small amount (of money); small allowance or wage
pivotal,of a pivot; central; critical; crucial
placate,pacify; bring peace to; conciliate; appease
placebo,harmless substance prescribed as a dummy pill
placid,peaceful; calm; Ex. placid child/lake
plagiarize,steal another's ideas or writings and pass them off as one's own; Ex.
plaintive,expressing sorrow; mournful; Ex. plaintive song
plait,braid; interwine; interweave strand s or lengths of; make by weaving
plane,carpenter's tool for smoothing and leveling wood; V. CF. flat
plaster,paste that hardens to a smooth solid and is used for coating walls; V.
plasticity,ability to be molded; ADJ. plastic: capable of being shaped or molded;
platitude,trite remark; commonplace statement; ADJ. platitudinous
platonic,purely spiritual; theo retical; without sensual desire
plaudit,praise; enthusiastic approval; round(succession or series) of applause; ADJ. plauditory; CF. applaud
plausible,conceivably true; having a show  of truth but open to doubt; specious
plebeian,common; vulgar; pertaining to the common people; N: common
plebiscite,direct vote by the entire  electorate (on an important issue)
plenary,(of power) complete; full; fully atte nded by all qualified members; Ex.
plenitude,abundance; plenty; great amount; completeness; fullness; CF.
plethora,excess; overabundance; Ex. a plethora of excuses
pliable,flexible; easily influenced; yielding; adaptable
pliant,flexible; easily influenced
plight,difficult condition; condition or state (esp. a bad state or condition);
ploy,strategem to gain an advantage; tactic; Ex. management ploy
