Word,Meaning
rabble,mob; noisy crowd
rabid,of or suffering rabies; like a fanatic;  extremely zealous; furious; CF. rabies:
rabies,disease passed on by the bite of an infected animal (causing madness and
raconteur,story-teller; one who tells stories with wit and skill
raffle,lottery; V: award as a prize in a raffle; Ex. raffle off a new car
rag,scrap of cloth; ADJ. ragged: old and torn; seeming unfinished and imperfect; Ex. ragged debut/performance
ragamuffin,dirty child in torn clothes; person wearing tattered clothes
rail,complain bitterly; scold; rant; Ex. the weaker railing against injustices
raiment,clothing; garments; Ex. I have no raiment fit to wear.
rake,immoral or dissolute person
rakish,jaunty; stylish; sporty; morally corrupt; dissolute; Ex. He wore his hat at a
rally,"come or bring together; call up or summon (forces, vital powers, etc.);"
revive or recuperate (after illness or,difficulty); N: act of rallying; mass
ram,male sheep; V. strike or dr ive against with a heavy impact
ramble,wander aimlessly (phy sically or mentally); digress
ramification,branching out; subdivision; one branch of a system; one of the results following from an action or decision ; Ex. ramifications of a business/the
ramify,branch out; divide into branches or subdivisions
ramp,slope; inclined plane or  roadway (connecting two levels)
rampant,growing or spreading uncontrollably; growing in profusion; unrestrained; Ex. rampant lawlessness/weed
rampart,defensive mound of earth
ramshackle,(of a building or vehicle) poorly constructed; rickety; falling apart
rancid,having the odor of stale or decomposing fat; rank
rancor,long-lasting hatred; bitterness; Ex . negotiation without rancor; ADJ.
random,"without definite purpose, plan, or ai m; haphazard; Ex. random shots; Ex."
rank,offensive in odor or flavor
rankle,irritate; fester; annoy
ransack,search thoroughly; pillage (going th rough a place); Ex. Enemy soldiers
rant,speak violently or excitedly; rave; talk  excitedly showing anger; scold; make
rapacious,voracious; ravenous; taking everythi ng one can; excessively grasping;
rapport,close relationship; emotional closeness; harmony
rapt,engrossed; absorbed; enchanted; Ex. rapt listener
rapture,great joy and delight; ecstasy; ADJ. rapturous
rare,(of air) thin in density; ra refied; Ex. rare air of the mountains
rarefied,made less dense (of a gas); V. rarefy: make less dense; N. rarefaction
rasp,(of a sound) grate on (eg. nerves); ma ke a harsh noise; have an unpleasant
raspy,making a harsh noise; grating; harsh
ratify,approve formally; confirm; verify
ratiocination,reasoning; act of drawing conclusions from premises; V. ratiocinate: reason
ration,fixed portion; V:  distribute as rations
