Word,Meaning
tablet,small round piece of medicine; flat piece of stone or metal bearing an
tacit,understood (without actually being expressed); not put into words; Ex. tacit
taciturn,habitually silent; talking little
tact,skill or sensitivity in dealing with people without causing offence
tactful,careful no to cause offence; OP. tactless
tactile,pertaining to the organs or sense of touch
taint,contaminate; cause to lose purity; modify  with a trace of something bad; Ex.
tainted reputation; N: stain; touch of,decay or bad influence; CF. touch
takeoff,burlesque; act of leaving the ground
talisman,charm; object believed to give supernatural powers to or protect its bearer
talon,claw of bird
tan,convert (hide) into leather; make brown by exposure to the sun
tangential,only slightly connected; not central; peripheral; digressing; showing
tangible,able to be touched; real; concrete; palpable; possible to realize or understand;
tanner,person who turns animal hides into leather
tantalize,tease; excite by exposing something desirable while keeping it out of reach; torture with disappointment; CF. Tantalus: Greek mythological figure
tantamount,equivalent in effect or value; Ex. This invasion is tantamount to a declaration
tantrum,fit of bad temper; fit of petulance; caprice; Ex. The child went into tantrums.
taper,very thin candle; gradual decrease in the width of a long object; V. make or
tarantula,venomous spider
tardy,slow; sluggish; not on time; late; Ex. tardy arrival
tarnish,make or become dull or discolored; N.
tarry,linger; delay in starting or going; dawdle
tart,sharp to the taste; acid-tasting; caustic; sarcastic; Ex. tart apple/reply
tatter,torn piece of cloth; ADJ. tattered: (of clothes) old and torn; (of a person)
taunt,deride or provoke; challenge in derision; N.
taut,tight; strained; te nse; ready; OP. slack
tautological,needlessly repetitious; Ex. ``It was visible to the eye''; N. tautology: needless
tawdry,cheap and gaudy; Ex. tawdry jewelry
tawny,brownish yellow
taxonomist,"specialist in classifying (animals, etc.); CF. taxonomy: science of"
tedium,boredom; wear iness; ADJ. tedious
teetotalism,practice of abstaining totally from alcoholic drinks; N. teetotaler;; ADJ.
temerity,boldness; nerve; rashness; Ex. temerity to ask for a pay increase after only
temper,moderate; make less severe; tone down or restrain; toughen (steel) as by
temperament,characteristic frame of mind; disposition; emotional excess; ADJ. temperamental: of temperament; havi ng frequent changes of temper; Ex.
temperate,moderate; restrained; self-controlled; moderate in respect to temperature;
tempestuous,stormy; violent; impassioned; N. tempest: violent storm
tempo,speed of music
temporal,of time; not lasting forever; li mited by time; temporary; secular; worldly
temporize,gain time as by postponi ng an action; avoid committing oneself
tenacious,holding fast (as to a belief); persistent
tenacity,firmness; persistence
tenancy,possession of land or building by rent; period of a tenant's occupancy
tenant,one that pays rent to  use property owned by another
tend,have a tendency; take care of; mini ster; serve at; apply one's attention; attend
tendentious,promoting a particular point of view; biased; having an aim; designed to
tender,offer formally; extend; Ex. tender one's resignation/the exact fare; N: formal
tenet,doctrine; dogma
tensile,capable of being stretched; of tension; Ex. tensile rubber
tension,stretching; condition of being stretched;  mental strain; strained relationship
tentative,not fully worked out or developed; pr ovisional; experimental; uncertain;
tenuous,thin; slim; rare
tenure,holding of an office or real estate ; time during which such an office is held
tepid,lukewarm; slightly warm; half-hearted; not eager; Ex. tepid reaction to the
terminal,part that forms the end; railroad or bus station; ADJ. forming an end; ending
termination,end; V. terminate
terminology,terms used in a scie nce or art; study of nomenclature
terminus,last stop of railroad; end
terrestrial,on or relating to the earth
terse,concise; abrupt; pithy
tertiary,third in order or rank
tessellated,mosaic; inlaid; Ex. tessellated pattern
testator,maker of a will; CF. testatrix
testy,irritable; impatient and bad-te mpered; short-tempered; N. testiness
tether,tie (an animal) with a rope or tether; N:  rope or chain to which an animal is
thematic,of a theme; relating to a unifying motif or idea
theocracy,government run by religious leaders
theoretical,based on theory; not pr actical or applied; hypothetical
therapeutic,curative; N. therapy
thermal,pertaining to heat; producing heat; warm ; Ex. thermal bath; N: rising current
thesis,opinion put forward and supported by reasoned arguments
thespian,pertaining to dr ama; N: actor or actress
thrall,slave; bondage; slavery; Ex. Her beauty held him in thrall; CF. enthrall
thrash,beat with a whip or flail; defeat utterly ; talk about thoroughly in order to find
threadbare,worn through till the threads show; shabby and poor; hackneyed; Ex.
threat,sign or warning (of coming danger); Ex. threat of rain; V: express a threat; give warning of (something bad); Ex. The cloud threatens rain.
thresh,beat (cereal plants) with a machine or flail to separate the grains from the
thrifty,careful about money; economical; N. thrift
thrive,prosper; flourish
throb,(of a heart or machine) beat rapidly or violently; N. Ex. he arthrob: heartbeat;
throes,violent anguish
throng,crowd (of people or things); V.
throttle,strangle; regulate the speed of with a throttle; N: valve that regulates the
thwart,block or hinder; baffle; frustrate
tickle,touch (the body) lightly so as to cause laughter; please
tightwad,miser; excessively frugal person
tiller,handle used to move boat's rudder (to steer)
timbre,quality of a musical tone produced by a musical instrument (which distinguishes it from others of the same pitch)
timidity,lack of self-confidence or courage
timorous,fearful; timid; demonstrating fear
tinge,give a slight degree of a color or quality to; N: slight degree of a color or quality; Ex. tinged with grey/jealousy
tint,slight degree of color; V: give a tint to
tipple,drink (alcoholic beverages) frequently; N: alcoholic drink
tirade,long angry denunciatory speech; diat ribe; harangue; extended scolding;
titanic,gigantic; N. titan
tithe,tax of one-tenth (contributed to a church); V: pay a tithe
titillate,tickle; excite pleasantly; Ex. not to  titillate the audience but to enlighten it
title,"name (of a book, film, etc.); mark of ra nk; formal appellation as of rank or"
titter,nervous giggle; nervous laugh; V.
titular,of a title; in name only; nominal; having the title of an office without the
toady,servile flatterer; yes man; sycophant; V: be a toady to; fawn
toga,Roman outer robe
token,outward sign; Ex. a token of our gratitude
toll,sound (a large bell) slowly at regular inte rvals; N: sound of a bell; fixed tax or
tome,large volume; book
tonsure,shaving of the head especially by person entering religious orders; V.
topography,physical features of a region (s uch as the shape and height); CF. topo-: place
topple,become unsteady and fall down
torpedo,underwater explosive apparatus; V.
torpor,lethargy; sluggishness; dormancy; ADJ. torpid: lethargic; lazy; inactive; (of
torque,twisting force; force producing rotation
torrent,rushing stream; flood; Ex. The rain fell in torrents.
torrid,(of weather) hot or scorching;  passionate; Ex. torrid love affairs
torso,trunk of statue with head and limbs missing; human trunk
tortuous,winding; full of curves; Ex. tortuous mountain road
toss,throw lightly; move or lift (the head) with a sudden motion; flip (a coin) to
totem,"animal, plant, or natural object servin g as a symbol of a clan or family;"
totter,shake or move unsteadily; sway as if about to fall
touching,causing a feeling of pity or sympathy; pathetic; V. touch: cause to feel pity or
touchstone,stone used to test the fine ness of gold alloys; criterion; standard
touchy,oversensitive; easily offended; irasible; delicate; needing delicate handling;
tout,promote or publicize (one's goods or service); praise excessively (as a form of
toxic,poisonous; N. toxicity
tract,propaganda pamphlet (esp. by a religi ous or political group); expanse of
land; region of indefinite size; system,of related organs; Ex. digestive tract
tractable,docile; easily managed; (of somethin g) easily changed or molded; N.
traduce,expose to slander
trajectory,path taken by a projectile; Ex. trajectory of a bullet
tramp,walk with a heavy step; travel on foot ; N: vagrant; one who travels aimlessly
trample,step heavily with the feet; crush under the feet
trance,hypnotic state; ecstatic state; detachment from one's physical surrounding
tranquillity,calmness; peace
transcendent,exceeding ordinary limits; superior; su rpassing; V. transcend: go beyond;
transcendental,going beyond common thought or idea s; impossible to understand by
transcribe,copy; write a copy of; N. transcription
